,AL627309.3,LINC01409,LINC01128,AL645608.2,SAMD11,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,TNFRSF4,SDF4,C1QTNF12,UBE2J2,SCNN1D,ACAP3,INTS11,CPTP,DVL1,AURKAIP1,CCNL2,MRPL20.AS1,MRPL20,AL391244.2,ANKRD65,VWA1,ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72,AL691432.4,AL691432.2,MIB2,CDK11B,SLC35E2B,CDK11A,SLC35E2A,NADK,GNB1,CFAP74,GABRD,PRKCZ,FAAP20,SKI
TNFRSF4,0.000233109,0.000233109,0.000469861,0.000233109,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,10.0,0.001455695,0.000469861,0.032846652,0.000233109,0.001712513,0.001712513,0.000710372,0.000469861,0.03094775,0.005520428,0.000233109,0.001973759,0.000469861,0.000469861,0.001203158,0.000469861,0.000954762,0.000233109,0.001203158,0.002239589,0.0,0.000233109,0.001203158,0.001455695,0.001712513,0.000710372,0.000469861,0.037555654,0.032846652,0.000233109,0.000469861,0.000469861,0.001712513,0.027743081
SDF4,0.001455695,0.001455695,0.002935099,0.001455695,0.037555654,0.005968213,0.0,0.0,0.004659831,0.007203361,0.029950274,0.017773779,0.001455695,10.0,0.017773779,0.045559756,0.001455695,0.001708895,0.019574072,0.011088429,0.002935099,0.000370216,0.039510552,0.001455695,0.00089072,0.017773779,0.002935099,0.007523617,0.002935099,0.007203361,0.001455695,0.007523617,0.058399308,0.0,0.001455695,0.004659831,0.002916003,0.019574072,0.011088429,0.002935099,0.024107512,0.049890045,0.001455695,0.002935099,0.017773779,0.001708895,0.000383237
C1QTNF12,0.000469861,0.000469861,0.000947124,0.000469861,0.000469861,0.024152039,0.0,0.0,0.002425744,0.001924811,0.002425744,0.000947124,0.000469861,0.017773779,10.0,0.003980238,0.000469861,0.003453162,0.003453162,0.001432024,0.000947124,0.01194977,0.017129513,0.000469861,0.003980238,0.000947124,0.036743596,0.002425744,0.000947124,0.001924811,0.000469861,0.020572079,0.013848673,0.0,0.000469861,0.002425744,0.017773779,0.003453162,0.001432024,0.000947124,0.002935099,0.059975408,0.000469861,0.000947124,0.000947124,0.003453162,0.015230609
UBE2J2,0.001973759,0.001973759,0.013582843,0.001973759,0.001973759,0.004075906,0.0,0.0,0.021234909,0.004075906,0.021234909,0.003980238,0.032846652,0.045559756,0.003980238,10.0,0.001973759,0.011960878,0.011960878,0.007424568,0.003980238,0.025837867,0.041251373,0.001973759,0.008891522,0.013582843,0.003980238,0.002078451,0.003980238,0.004075906,0.032846652,0.010207335,0.044473417,0.0,0.001973759,0.010207335,0.012356333,0.000250106,0.007424568,0.003980238,0.088804536,0.125296354,0.001973759,0.003980238,0.013582843,0.000250106,0.018194174
SCNN1D,0.000233109,0.000233109,0.057511304,0.000233109,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,0.000233109,0.001455695,0.000469861,0.001973759,10.0,0.001712513,0.001712513,0.000710372,0.000469861,0.002239589,0.032846652,0.000233109,0.032846652,0.000469861,0.000469861,0.001203158,0.000469861,0.000954762,0.000233109,0.001203158,0.002239589,0.0,0.000233109,0.001203158,0.037555654,0.035018578,0.049583301,0.057511304,0.001455695,0.032846652,0.000233109,0.000469861,0.057511304,0.001712513,0.027743081
ACAP3,0.035018578,0.001712513,0.015493522,0.035018578,0.001712513,0.005450178,0.0,0.0,0.025146257,0.03283824,0.025146257,0.015493522,0.001712513,0.001708895,0.003453162,0.011960878,0.001712513,10.0,0.044160143,0.009069418,0.015493522,2.09953796e-05,0.047998145,0.001712513,0.000250106,0.003453162,0.003453162,0.003177226,0.015493522,0.005450178,0.001712513,0.025146257,0.001919898,0.0,0.001712513,0.025146257,0.001708895,0.015316129,0.00522289,0.015493522,0.05252194,0.065669201,0.001712513,0.015493522,0.003453162,0.012613151,0.092503846
INTS11,0.035018578,0.001712513,0.015493522,0.001712513,0.035018578,0.007022684,0.0,0.0,0.025146257,0.005450178,0.06351316,0.003453162,0.001712513,0.019574072,0.003453162,0.011960878,0.001712513,0.044160143,10.0,0.00522289,0.015493522,0.009268449,0.035192519,0.001712513,0.000250106,0.003453162,0.003453162,0.025146257,0.003453162,0.005450178,0.001712513,0.008853585,0.013339276,0.0,0.001712513,0.003177226,0.001708895,0.015316129,0.00522289,0.003453162,0.019574072,0.028237216,0.001712513,0.003453162,0.003453162,0.044160143,0.043658063
CPTP,0.000710372,0.000710372,0.001432024,0.049583301,0.000710372,0.002910644,0.0,0.0,0.003668396,0.002910644,0.01362991,0.001432024,0.000710372,0.011088429,0.001432024,0.007424568,0.000710372,0.009069418,0.00522289,10.0,0.001432024,0.03639856,0.108406924,0.000710372,0.006020542,0.029056104,0.001432024,0.003668396,0.001432024,0.002910644,0.000710372,0.003668396,0.053630084,0.0,0.000710372,0.01362991,0.004438996,0.044651315,0.021613002,0.001432024,0.011088429,0.018926021,0.000710372,0.001432024,0.001432024,0.009069418,0.061902054
DVL1,0.000469861,0.000469861,0.000947124,0.000469861,0.000469861,0.001924811,0.0,0.0,0.020572079,0.024152039,0.084808223,0.000947124,0.000469861,0.002935099,0.000947124,0.003980238,0.000469861,0.015493522,0.015493522,0.001432024,10.0,0.004516645,0.042556833,0.000469861,0.003980238,0.000947124,0.000947124,0.020572079,0.000947124,0.001924811,0.000469861,0.020572079,0.004516645,0.0,0.000469861,0.002425744,0.002935099,0.003453162,0.001432024,0.000947124,0.002935099,0.067632124,0.000469861,0.036743596,0.000947124,0.003453162,0.037453264
AURKAIP1,0.002239589,0.002239589,0.004516645,0.002239589,0.002239589,0.065558314,0.0,0.0,0.011585733,0.002988908,0.001272052,0.01194977,0.03094775,0.000370216,0.01194977,0.025837867,0.002239589,2.09953796e-05,0.009268449,0.03639856,0.004516645,10.0,0.046384182,0.002239589,0.056213006,0.01194977,0.01194977,0.001272052,0.01194977,0.009188337,0.002239589,0.001272052,0.039535306,0.0,0.002239589,0.001272052,0.000370216,0.031958058,0.006062072,0.01194977,0.039763756,0.002804792,0.002239589,0.004516645,0.004516645,0.031958058,0.077613279
CCNL2,0.005520428,0.005520428,0.061192386,0.049583301,0.032846652,0.088237375,0.0,0.0,0.032090519,0.037734762,0.123621292,0.067632124,0.005520428,0.039510552,0.017129513,0.041251373,0.032846652,0.047998145,0.035192519,0.108406924,0.042556833,0.046384182,10.0,0.005520428,0.082845226,0.059293482,0.042556833,0.098956637,0.067632124,0.031749725,0.005520428,0.025732342,0.070636004,0.0,0.03094775,0.050625954,0.052229118,0.108513683,0.062737815,0.067632124,0.062003277,0.15506424,0.03094775,0.015230609,0.017129513,0.029773233,0.160583049
